Reaction,Potential,Symbol,Name,Atomic_Number,Atomic_Mass,Atomic_radius,Covalent_radius,Electrons,Electron_affinity,Period,group,group_name,Electron,environments_ox,environments_red
Quinone + 2H+ + 2e- → Hydroquinone,0.699,C,Carbon,6,12.011,70.0,75.0,6,1.262119,2,"<Group(symbol=IVA, name=Carbon group)>","<Group(symbol=IVA, name=Carbon group)>",2,-1,0
Ca(OH)2 + 2e- → Ca + 2OH-,-3.03,Ca,Calcium,20,40.078,180.0,171.0,20,0.02455,4,"<Group(symbol=IIA, name=Alkaline earths)>","<Group(symbol=IIA, name=Alkaline earths)>",2,0,1
Ca2+ + 2e- → Ca,-2.866,Ca,Calcium,20,40.078,180.0,171.0,20,0.02455,4,"<Group(symbol=IIA, name=Alkaline earths)>","<Group(symbol=IIA, name=Alkaline earths)>",2,0,0
CdS + 2e- → Cd + S2-,-1.175,Cd,Cadmium,48,112.414,155.0,136.0,48,,5,"<Group(symbol=IIB, name=)>","<Group(symbol=IIB, name=)>",2,0,0
[Cd(CN)4]2- + 2e- → Cd + 4CN-,-1.09,Cd,Cadmium,48,112.414,155.0,136.0,48,,5,"<Group(symbol=IIB, name=)>","<Group(symbol=IIB, name=)>",2,0,0
Cd(OH)2 + 2e- → Cd + 2OH-,-0.81,Cd,Cadmium,48,112.414,155.0,136.0,48,,5,"<Group(symbol=IIB, name=)>","<Group(symbol=IIB, name=)>",2,0,1
CdCO3 + 2e- → Cd + CO32-,-0.74,Cd,Cadmium,48,112.414,155.0,136.0,48,,5,"<Group(symbol=IIB, name=)>","<Group(symbol=IIB, name=)>",2,0,0
[Cd(NH3)4]2+ + 2e- → Cd + 4NH3,-0.61,Cd,Cadmium,48,112.414,155.0,136.0,48,,5,"<Group(symbol=IIB, name=)>","<Group(symbol=IIB, name=)>",2,0,0
Cd2+ + 2e- → Cd,-0.403,Cd,Cadmium,48,112.414,155.0,136.0,48,,5,"<Group(symbol=IIB, name=)>","<Group(symbol=IIB, name=)>",2,0,0
Cd(OH)2 + 2H+ + 2e- → Cd + 2H2O,0.005,Cd,Cadmium,48,112.414,155.0,136.0,48,,5,"<Group(symbol=IIB, name=)>","<Group(symbol=IIB, name=)>",2,-1,0
CdO + 2H+ + 2e- → Cd + H2O,0.063,Cd,Cadmium,48,112.414,155.0,136.0,48,,5,"<Group(symbol=IIB, name=)>","<Group(symbol=IIB, name=)>",2,-1,0
Ce3+ + 3e- → Ce,-2.48,Ce,Cerium,58,140.116,185.0,163.0,58,0.65,6,,,3,0,0
[CeCl6]2- + e- → Ce3+ + 6Cl-,1.28,Ce,Cerium,58,140.116,185.0,163.0,58,0.65,6,,,1,0,0
[Ce(SO4)3]2- + e- → Ce3+ + 3SO42-,1.44,Ce,Cerium,58,140.116,185.0,163.0,58,0.65,6,,,1,0,0
Ce4+ + e- → Ce3+,1.61,Ce,Cerium,58,140.116,185.0,163.0,58,0.65,6,,,1,0,0
[Ce(NO3)6]2- + e- → Ce3+ + 6NO3-,1.61,Ce,Cerium,58,140.116,185.0,163.0,58,0.65,6,,,1,0,0
[Ce(ClO4)6]2- + e- → Ce3+ + 6ClO4-,1.7,Ce,Cerium,58,140.116,185.0,163.0,58,0.65,6,,,1,0,0
CeOH3+ + H+ + e- → Ce3+ + H2O,1.7,Ce,Cerium,58,140.116,185.0,163.0,58,0.65,6,,,1,-1,0
Cf3+ + 3e- → Cf,-1.94,Cf,Californium,98,251.0,,168.0,98,,7,,,3,0,0
ClO3- + H2O + 2e- → ClO2- + 2OH-,0.33,Cl,Chlorine,17,35.45,100.0,99.0,17,3.612725,3,"<Group(symbol=VIIA, name=Halogens)>","<Group(symbol=VIIA, name=Halogens)>",2,0,1
ClO4- + H2O + 2e- → ClO3- + 2OH-,0.36,Cl,Chlorine,17,35.45,100.0,99.0,17,3.612725,3,"<Group(symbol=VIIA, name=Halogens)>","<Group(symbol=VIIA, name=Halogens)>",2,0,1
2ClO- + 2H2O + 2e- → Cl2 + 4OH-,0.4,Cl,Chlorine,17,35.45,100.0,99.0,17,3.612725,3,"<Group(symbol=VIIA, name=Halogens)>","<Group(symbol=VIIA, name=Halogens)>",2,0,1
ClO4- + 4H2O + 8e- → Cl- + 8OH-,0.56,Cl,Chlorine,17,35.45,100.0,99.0,17,3.612725,3,"<Group(symbol=VIIA, name=Halogens)>","<Group(symbol=VIIA, name=Halogens)>",8,0,1
ClO3- + 3H2O + 6e- → Cl- + 6OH-,0.63,Cl,Chlorine,17,35.45,100.0,99.0,17,3.612725,3,"<Group(symbol=VIIA, name=Halogens)>","<Group(symbol=VIIA, name=Halogens)>",6,0,1
ClO2- + H2O + 2e- → ClO- + 2OH-,0.66,Cl,Chlorine,17,35.45,100.0,99.0,17,3.612725,3,"<Group(symbol=VIIA, name=Halogens)>","<Group(symbol=VIIA, name=Halogens)>",2,0,1
ClO2- + 2H2O + 4e- → Cl- + 4OH-,0.77,Cl,Chlorine,17,35.45,100.0,99.0,17,3.612725,3,"<Group(symbol=VIIA, name=Halogens)>","<Group(symbol=VIIA, name=Halogens)>",4,0,1
ClO2 + 2H2O + 5e- → Cl- + 4OH-,0.85,Cl,Chlorine,17,35.45,100.0,99.0,17,3.612725,3,"<Group(symbol=VIIA, name=Halogens)>","<Group(symbol=VIIA, name=Halogens)>",5,0,1
ClO- + H2O + 2e- → Cl- + 2OH-,0.88,Cl,Chlorine,17,35.45,100.0,99.0,17,3.612725,3,"<Group(symbol=VIIA, name=Halogens)>","<Group(symbol=VIIA, name=Halogens)>",2,0,1
ClO3- + 2H+ + e- → ClO2 + H2O,1.15,Cl,Chlorine,17,35.45,100.0,99.0,17,3.612725,3,"<Group(symbol=VIIA, name=Halogens)>","<Group(symbol=VIIA, name=Halogens)>",1,-1,0
ClO4- + 2H+ + 2e- → ClO3- + H2O,1.189,Cl,Chlorine,17,35.45,100.0,99.0,17,3.612725,3,"<Group(symbol=VIIA, name=Halogens)>","<Group(symbol=VIIA, name=Halogens)>",2,-1,0
ClO3- + 3H+ + 2e- → HClO2 + H2O,1.21,Cl,Chlorine,17,35.45,100.0,99.0,17,3.612725,3,"<Group(symbol=VIIA, name=Halogens)>","<Group(symbol=VIIA, name=Halogens)>",2,-1,0
ClO2 + H+ + e- → HClO2,1.27,Cl,Chlorine,17,35.45,100.0,99.0,17,3.612725,3,"<Group(symbol=VIIA, name=Halogens)>","<Group(symbol=VIIA, name=Halogens)>",1,-1,0
Cl2 + 2e- → 2Cl-,1.359,Cl,Chlorine,17,35.45,100.0,99.0,17,3.612725,3,"<Group(symbol=VIIA, name=Halogens)>","<Group(symbol=VIIA, name=Halogens)>",2,0,0
ClO4- + 8H+ + 8e- → Cl- + 4H2O,1.38,Cl,Chlorine,17,35.45,100.0,99.0,17,3.612725,3,"<Group(symbol=VIIA, name=Halogens)>","<Group(symbol=VIIA, name=Halogens)>",8,-1,0
2ClO4- + 16H+ + 14e- → Cl2 + 8H2O,1.39,Cl,Chlorine,17,35.45,100.0,99.0,17,3.612725,3,"<Group(symbol=VIIA, name=Halogens)>","<Group(symbol=VIIA, name=Halogens)>",14,-1,0
ClO3- + 6H+ + 6e- → Cl- + 3H2O,1.451,Cl,Chlorine,17,35.45,100.0,99.0,17,3.612725,3,"<Group(symbol=VIIA, name=Halogens)>","<Group(symbol=VIIA, name=Halogens)>",6,-1,0
2ClO3- + 12H+ + 10e- → Cl2 + 6H2O,1.47,Cl,Chlorine,17,35.45,100.0,99.0,17,3.612725,3,"<Group(symbol=VIIA, name=Halogens)>","<Group(symbol=VIIA, name=Halogens)>",10,-1,0
HClO + H+ + 2e- → Cl- + H2O,1.494,Cl,Chlorine,17,35.45,100.0,99.0,17,3.612725,3,"<Group(symbol=VIIA, name=Halogens)>","<Group(symbol=VIIA, name=Halogens)>",2,-1,0
ClO2 + 4H+ + 5e- → Cl- + 2H2O,1.51,Cl,Chlorine,17,35.45,100.0,99.0,17,3.612725,3,"<Group(symbol=VIIA, name=Halogens)>","<Group(symbol=VIIA, name=Halogens)>",5,-1,0
2ClO2 + 8H+ + 8e- → Cl2 + 4H2O,1.549,Cl,Chlorine,17,35.45,100.0,99.0,17,3.612725,3,"<Group(symbol=VIIA, name=Halogens)>","<Group(symbol=VIIA, name=Halogens)>",8,-1,0
HClO2 + 3H+ + 4e- → Cl- + 2H2O,1.57,Cl,Chlorine,17,35.45,100.0,99.0,17,3.612725,3,"<Group(symbol=VIIA, name=Halogens)>","<Group(symbol=VIIA, name=Halogens)>",4,-1,0
2HClO + 2H+ + 2e- → Cl2 + 2H2O,1.63,Cl,Chlorine,17,35.45,100.0,99.0,17,3.612725,3,"<Group(symbol=VIIA, name=Halogens)>","<Group(symbol=VIIA, name=Halogens)>",2,-1,0
2HClO2 + 6H+ + 6e- → Cl2 + 4H2O,1.64,Cl,Chlorine,17,35.45,100.0,99.0,17,3.612725,3,"<Group(symbol=VIIA, name=Halogens)>","<Group(symbol=VIIA, name=Halogens)>",6,-1,0
HClO2 + 2H+ + 2e- → HClO + H2O,1.64,Cl,Chlorine,17,35.45,100.0,99.0,17,3.612725,3,"<Group(symbol=VIIA, name=Halogens)>","<Group(symbol=VIIA, name=Halogens)>",2,-1,0
Cm3+ + 3e- → Cm,-2.04,Cm,Curium,96,247.0,,166.0,96,,7,,,3,0,0
CoS (β) + 2e- → Co + S2-,-1.07,Co,Cobalt,27,58.933194,135.0,111.0,27,0.66225646,4,"<Group(symbol=VIIIB, name=)>","<Group(symbol=VIIIB, name=)>",2,0,0
CoS (α) + 2e- → Co + S2-,-0.9,Co,Cobalt,27,58.933194,135.0,111.0,27,0.66225646,4,"<Group(symbol=VIIIB, name=)>","<Group(symbol=VIIIB, name=)>",2,0,0
Co(OH)2 + 2e- → Co + 2OH-,-0.73,Co,Cobalt,27,58.933194,135.0,111.0,27,0.66225646,4,"<Group(symbol=VIIIB, name=)>","<Group(symbol=VIIIB, name=)>",2,0,1
CoCO3 + 2e- → Co + CO32-,-0.64,Co,Cobalt,27,58.933194,135.0,111.0,27,0.66225646,4,"<Group(symbol=VIIIB, name=)>","<Group(symbol=VIIIB, name=)>",2,0,0
[Co(NH3)6]2+ + 2e- → Co + 6NH3,-0.42,Co,Cobalt,27,58.933194,135.0,111.0,27,0.66225646,4,"<Group(symbol=VIIIB, name=)>","<Group(symbol=VIIIB, name=)>",2,0,0
Co2+ + 2e- → Co,-0.277,Co,Cobalt,27,58.933194,135.0,111.0,27,0.66225646,4,"<Group(symbol=VIIIB, name=)>","<Group(symbol=VIIIB, name=)>",2,0,0
Co(OH)2 + 2H+ + 2e- → Co + 2H2O,0.095,Co,Cobalt,27,58.933194,135.0,111.0,27,0.66225646,4,"<Group(symbol=VIIIB, name=)>","<Group(symbol=VIIIB, name=)>",2,-1,0
[Co(NH3)6]3+ + e- → [Co(NH3)6]2+,0.1,Co,Cobalt,27,58.933194,135.0,111.0,27,0.66225646,4,"<Group(symbol=VIIIB, name=)>","<Group(symbol=VIIIB, name=)>",1,0,0
CoO + 2H+ + 2e- → Co + H2O,0.166,Co,Cobalt,27,58.933194,135.0,111.0,27,0.66225646,4,"<Group(symbol=VIIIB, name=)>","<Group(symbol=VIIIB, name=)>",2,-1,0
Co(OH)3 + e- → Co(OH)2 + OH-,0.17,Co,Cobalt,27,58.933194,135.0,111.0,27,0.66225646,4,"<Group(symbol=VIIIB, name=)>","<Group(symbol=VIIIB, name=)>",1,0,1
Co3+ + 3e- → Co,0.4,Co,Cobalt,27,58.933194,135.0,111.0,27,0.66225646,4,"<Group(symbol=VIIIB, name=)>","<Group(symbol=VIIIB, name=)>",3,0,0
Co3+ + e- → Co2+,1.808,Co,Cobalt,27,58.933194,135.0,111.0,27,0.66225646,4,"<Group(symbol=VIIIB, name=)>","<Group(symbol=VIIIB, name=)>",1,0,0
Cr(OH)2 + 2e- → Cr + 2OH-,-1.4,Cr,Chromium,24,51.9961,140.0,122.0,24,0.6659999999999999,4,"<Group(symbol=VIB, name=)>","<Group(symbol=VIB, name=)>",2,0,1
Cr(OH)3 + 3e- → Cr + 3OH-,-1.3,Cr,Chromium,24,51.9961,140.0,122.0,24,0.6659999999999999,4,"<Group(symbol=VIB, name=)>","<Group(symbol=VIB, name=)>",3,0,1
[Cr(CN)6]3- + e- → [Cr(CN)6]4-,-1.28,Cr,Chromium,24,51.9961,140.0,122.0,24,0.6659999999999999,4,"<Group(symbol=VIB, name=)>","<Group(symbol=VIB, name=)>",1,0,0
CrO2- + 2H2O + 3e- → Cr + 4OH-,-1.2,Cr,Chromium,24,51.9961,140.0,122.0,24,0.6659999999999999,4,"<Group(symbol=VIB, name=)>","<Group(symbol=VIB, name=)>",3,0,1
Cr2+ + 2e- → Cr,-0.913,Cr,Chromium,24,51.9961,140.0,122.0,24,0.6659999999999999,4,"<Group(symbol=VIB, name=)>","<Group(symbol=VIB, name=)>",2,0,0
Cr3+ + 3e- → Cr,-0.744,Cr,Chromium,24,51.9961,140.0,122.0,24,0.6659999999999999,4,"<Group(symbol=VIB, name=)>","<Group(symbol=VIB, name=)>",3,0,0
Cr(OH)3 + 3H+ + 3e- → Cr + 3H2O,-0.654,Cr,Chromium,24,51.9961,140.0,122.0,24,0.6659999999999999,4,"<Group(symbol=VIB, name=)>","<Group(symbol=VIB, name=)>",3,-1,0
Cr3+ + e- → Cr2+,-0.407,Cr,Chromium,24,51.9961,140.0,122.0,24,0.6659999999999999,4,"<Group(symbol=VIB, name=)>","<Group(symbol=VIB, name=)>",1,0,0
CrO2- + 4H+ + 3e- → Cr + 2H2O,-0.213,Cr,Chromium,24,51.9961,140.0,122.0,24,0.6659999999999999,4,"<Group(symbol=VIB, name=)>","<Group(symbol=VIB, name=)>",3,-1,0
CrO42- + 4H2O + 3e- → Cr(OH)3 + 5OH-,-0.13,Cr,Chromium,24,51.9961,140.0,122.0,24,0.6659999999999999,4,"<Group(symbol=VIB, name=)>","<Group(symbol=VIB, name=)>",3,0,1
Cr2O72- + 14H+ + 12e- → 2Cr + 7H2O,0.294,Cr,Chromium,24,51.9961,140.0,122.0,24,0.6659999999999999,4,"<Group(symbol=VIB, name=)>","<Group(symbol=VIB, name=)>",12,-1,0
CrO42- + 8H+ + 6e- → Cr + 4H2O,0.366,Cr,Chromium,24,51.9961,140.0,122.0,24,0.6659999999999999,4,"<Group(symbol=VIB, name=)>","<Group(symbol=VIB, name=)>",6,-1,0
Cr2O72- + 14H+ + 6e- → 2Cr3+ + 7H2O,1.333,Cr,Chromium,24,51.9961,140.0,122.0,24,0.6659999999999999,4,"<Group(symbol=VIB, name=)>","<Group(symbol=VIB, name=)>",6,-1,0
CrO42- + 8H+ + 3e- → Cr3+ + 4H2O,1.477,Cr,Chromium,24,51.9961,140.0,122.0,24,0.6659999999999999,4,"<Group(symbol=VIB, name=)>","<Group(symbol=VIB, name=)>",3,-1,0
Cs+ + e- → Cs,-2.923,Cs,Cesium,55,132.90545196,260.0,232.0,55,0.471626,6,"<Group(symbol=IA, name=Alkali metals)>","<Group(symbol=IA, name=Alkali metals)>",1,0,0
Cu2S + 2e- → 2Cu + S2-,-0.89,Cu,Copper,29,63.546,135.0,112.0,29,1.235,4,"<Group(symbol=IB, name=Coinage metals)>","<Group(symbol=IB, name=Coinage metals)>",2,0,0
CuS + 2e- → Cu + S2-,-0.76,Cu,Copper,29,63.546,135.0,112.0,29,1.235,4,"<Group(symbol=IB, name=Coinage metals)>","<Group(symbol=IB, name=Coinage metals)>",2,0,0
[Cu(CN)2]- + e- → Cu + 2CN-,-0.43,Cu,Copper,29,63.546,135.0,112.0,29,1.235,4,"<Group(symbol=IB, name=Coinage metals)>","<Group(symbol=IB, name=Coinage metals)>",1,0,0
Cu2O + H2O + 2e- → 2Cu + 2OH-,-0.36,Cu,Copper,29,63.546,135.0,112.0,29,1.235,4,"<Group(symbol=IB, name=Coinage metals)>","<Group(symbol=IB, name=Coinage metals)>",2,0,1
CuSCN + e- → Cu + SCN-,-0.27,Cu,Copper,29,63.546,135.0,112.0,29,1.235,4,"<Group(symbol=IB, name=Coinage metals)>","<Group(symbol=IB, name=Coinage metals)>",1,0,0
Cu(OH)2 + 2e- → Cu + 2OH-,-0.22,Cu,Copper,29,63.546,135.0,112.0,29,1.235,4,"<Group(symbol=IB, name=Coinage metals)>","<Group(symbol=IB, name=Coinage metals)>",2,0,1
CuI + e- → Cu + I-,-0.185,Cu,Copper,29,63.546,135.0,112.0,29,1.235,4,"<Group(symbol=IB, name=Coinage metals)>","<Group(symbol=IB, name=Coinage metals)>",1,0,0
[Cu(NH3)2]+ + e- → Cu + 2NH3,-0.12,Cu,Copper,29,63.546,135.0,112.0,29,1.235,4,"<Group(symbol=IB, name=Coinage metals)>","<Group(symbol=IB, name=Coinage metals)>",1,0,0
2Cu(OH)2 + 2e- → Cu2O + 2OH- + H2O,-0.08,Cu,Copper,29,63.546,135.0,112.0,29,1.235,4,"<Group(symbol=IB, name=Coinage metals)>","<Group(symbol=IB, name=Coinage metals)>",2,0,1
[Cu(NH3)4]2+ + 2e- → Cu + 4NH3,-0.07,Cu,Copper,29,63.546,135.0,112.0,29,1.235,4,"<Group(symbol=IB, name=Coinage metals)>","<Group(symbol=IB, name=Coinage metals)>",2,0,0
[Cu(NH3)4]2+ + e- → [Cu(NH3)2]+ + 2NH3,-0.01,Cu,Copper,29,63.546,135.0,112.0,29,1.235,4,"<Group(symbol=IB, name=Coinage metals)>","<Group(symbol=IB, name=Coinage metals)>",1,0,0
[CuI2]- + e- → Cu + 2I-,0.0,Cu,Copper,29,63.546,135.0,112.0,29,1.235,4,"<Group(symbol=IB, name=Coinage metals)>","<Group(symbol=IB, name=Coinage metals)>",1,0,0
CuBr + e- → Cu + Br-,0.03,Cu,Copper,29,63.546,135.0,112.0,29,1.235,4,"<Group(symbol=IB, name=Coinage metals)>","<Group(symbol=IB, name=Coinage metals)>",1,0,0
CuCl + e- → Cu + Cl-,0.137,Cu,Copper,29,63.546,135.0,112.0,29,1.235,4,"<Group(symbol=IB, name=Coinage metals)>","<Group(symbol=IB, name=Coinage metals)>",1,0,0
Cu2+ + e- → Cu+,0.153,Cu,Copper,29,63.546,135.0,112.0,29,1.235,4,"<Group(symbol=IB, name=Coinage metals)>","<Group(symbol=IB, name=Coinage metals)>",1,0,0
2Cu2+ + H2O + 2e- → Cu2O + 2H+,0.203,Cu,Copper,29,63.546,135.0,112.0,29,1.235,4,"<Group(symbol=IB, name=Coinage metals)>","<Group(symbol=IB, name=Coinage metals)>",2,0,-1
Cu2+ + 2e- → Cu,0.337,Cu,Copper,29,63.546,135.0,112.0,29,1.235,4,"<Group(symbol=IB, name=Coinage metals)>","<Group(symbol=IB, name=Coinage metals)>",2,0,0
Cu+ + e- → Cu,0.52,Cu,Copper,29,63.546,135.0,112.0,29,1.235,4,"<Group(symbol=IB, name=Coinage metals)>","<Group(symbol=IB, name=Coinage metals)>",1,0,0
Cu2+ + Cl- + e- → CuCl,0.538,Cu,Copper,29,63.546,135.0,112.0,29,1.235,4,"<Group(symbol=IB, name=Coinage metals)>","<Group(symbol=IB, name=Coinage metals)>",1,0,0
CuO + 2H+ + 2e- → Cu + H2O,0.57,Cu,Copper,29,63.546,135.0,112.0,29,1.235,4,"<Group(symbol=IB, name=Coinage metals)>","<Group(symbol=IB, name=Coinage metals)>",2,-1,0
Cu(OH)2 + 2H+ + 2e- → Cu + 2H2O,0.609,Cu,Copper,29,63.546,135.0,112.0,29,1.235,4,"<Group(symbol=IB, name=Coinage metals)>","<Group(symbol=IB, name=Coinage metals)>",2,-1,0
Cu2+ + Br- + e- → CuBr,0.64,Cu,Copper,29,63.546,135.0,112.0,29,1.235,4,"<Group(symbol=IB, name=Coinage metals)>","<Group(symbol=IB, name=Coinage metals)>",1,0,0
2CuO + 2H+ + 2e- → Cu2O + H2O,0.669,Cu,Copper,29,63.546,135.0,112.0,29,1.235,4,"<Group(symbol=IB, name=Coinage metals)>","<Group(symbol=IB, name=Coinage metals)>",2,-1,0
Cu2+ + I- + e- → CuI,0.86,Cu,Copper,29,63.546,135.0,112.0,29,1.235,4,"<Group(symbol=IB, name=Coinage metals)>","<Group(symbol=IB, name=Coinage metals)>",1,0,0
Dy(OH)3 + 3e- → Dy + 3OH-,-2.78,Dy,Dysprosium,66,162.5,175.0,167.0,66,0.352,6,,,3,0,1
Dy3+ + 3e- → Dy,-2.353,Dy,Dysprosium,66,162.5,175.0,167.0,66,0.352,6,,,3,0,0
Er3+ + 3e- → Er,-2.296,Er,Erbium,68,167.259,175.0,165.0,68,,6,,,3,0,0
Es3+ + 3e- → Es,-1.91,Es,Einsteinium,99,252.0,,165.0,99,,7,,,3,0,0
Eu2+ + 2e- → Eu,-3.395,Eu,Europium,63,151.964,185.0,168.0,63,0.8640000000000001,6,,,2,0,0
Eu(OH)3 + 3e- → Eu + 3OH-,-2.83,Eu,Europium,63,151.964,185.0,168.0,63,0.8640000000000001,6,,,3,0,1
Eu3+ + e- → Eu2+,-0.429,Eu,Europium,63,151.964,185.0,168.0,63,0.8640000000000001,6,,,1,0,0
F2O + 2H+ + 4e- → 2F- + H2O,2.1,F,Fluorine,9,18.998403163,50.0,64.0,9,3.4011897000000006,2,"<Group(symbol=VIIA, name=Halogens)>","<Group(symbol=VIIA, name=Halogens)>",4,-1,0
F2 + 2e- → 2F-,2.87,F,Fluorine,9,18.998403163,50.0,64.0,9,3.4011897000000006,2,"<Group(symbol=VIIA, name=Halogens)>","<Group(symbol=VIIA, name=Halogens)>",2,0,0
FeS + 2e- → Fe + S2-,-0.95,Fe,Iron,26,55.845,140.0,116.0,26,0.151,4,"<Group(symbol=VIIIB, name=)>","<Group(symbol=VIIIB, name=)>",2,0,0
Fe(OH)2 + 2e- → Fe + 2OH-,-0.877,Fe,Iron,26,55.845,140.0,116.0,26,0.151,4,"<Group(symbol=VIIIB, name=)>","<Group(symbol=VIIIB, name=)>",2,0,1
FeCO3 + 2e- → Fe + CO32-,-0.756,Fe,Iron,26,55.845,140.0,116.0,26,0.151,4,"<Group(symbol=VIIIB, name=)>","<Group(symbol=VIIIB, name=)>",2,0,0
Fe(OH)3 + e- → Fe(OH)2 + OH-,-0.56,Fe,Iron,26,55.845,140.0,116.0,26,0.151,4,"<Group(symbol=VIIIB, name=)>","<Group(symbol=VIIIB, name=)>",1,0,1
Fe2+ + 2e- → Fe,-0.44,Fe,Iron,26,55.845,140.0,116.0,26,0.151,4,"<Group(symbol=VIIIB, name=)>","<Group(symbol=VIIIB, name=)>",2,0,0
Fe3O4 + 8H+ + 8e- → 3Fe + 4H2O,-0.085,Fe,Iron,26,55.845,140.0,116.0,26,0.151,4,"<Group(symbol=VIIIB, name=)>","<Group(symbol=VIIIB, name=)>",8,-1,0
Fe2O3 + H2O + 2H+ + 2e- → 2Fe(OH)2,-0.057,Fe,Iron,26,55.845,140.0,116.0,26,0.151,4,"<Group(symbol=VIIIB, name=)>","<Group(symbol=VIIIB, name=)>",2,-1,0
Fe2O3 + 6H+ + 6e- → 2Fe + 3H2O,-0.051,Fe,Iron,26,55.845,140.0,116.0,26,0.151,4,"<Group(symbol=VIIIB, name=)>","<Group(symbol=VIIIB, name=)>",6,-1,0
Fe(OH)2 + 2H+ + 2e- → Fe + 2H2O,-0.047,Fe,Iron,26,55.845,140.0,116.0,26,0.151,4,"<Group(symbol=VIIIB, name=)>","<Group(symbol=VIIIB, name=)>",2,-1,0
Fe3+ + 3e- → Fe,-0.037,Fe,Iron,26,55.845,140.0,116.0,26,0.151,4,"<Group(symbol=VIIIB, name=)>","<Group(symbol=VIIIB, name=)>",3,0,0
Fe(OH)3 + 3H+ + 3e- → Fe + 3H2O,0.059,Fe,Iron,26,55.845,140.0,116.0,26,0.151,4,"<Group(symbol=VIIIB, name=)>","<Group(symbol=VIIIB, name=)>",3,-1,0
Fe(OH)3 + H+ + e- → Fe(OH)2 + H2O,0.271,Fe,Iron,26,55.845,140.0,116.0,26,0.151,4,"<Group(symbol=VIIIB, name=)>","<Group(symbol=VIIIB, name=)>",1,-1,0
[Fe(CN)6]3- + e- → [Fe(CN)6]4-,0.356,Fe,Iron,26,55.845,140.0,116.0,26,0.151,4,"<Group(symbol=VIIIB, name=)>","<Group(symbol=VIIIB, name=)>",1,0,0
Fe3+ + e- → Fe2+,0.771,Fe,Iron,26,55.845,140.0,116.0,26,0.151,4,"<Group(symbol=VIIIB, name=)>","<Group(symbol=VIIIB, name=)>",1,0,0
Fe3O4 + 8H+ + 2e- → 3Fe2+ + 4H2O,0.98,Fe,Iron,26,55.845,140.0,116.0,26,0.151,4,"<Group(symbol=VIIIB, name=)>","<Group(symbol=VIIIB, name=)>",2,-1,0
[Fe(Phen)3]3+ + e- → [Fe(Phen)3]2+,1.06,Fe,Iron,26,55.845,140.0,116.0,26,0.151,4,"<Group(symbol=VIIIB, name=)>","<Group(symbol=VIIIB, name=)>",1,0,0
FeO42- + 8H+ + 3e- → Fe3+ + 4H2O,2.2,Fe,Iron,26,55.845,140.0,116.0,26,0.151,4,"<Group(symbol=VIIIB, name=)>","<Group(symbol=VIIIB, name=)>",3,-1,0
Fm3+ + 3e- → Fm,-1.89,Fm,Fermium,100,257.0,,167.0,100,,7,,,3,0,0
Fr+ + e- → Fr,-2.92,Fr,Francium,87,223.0,,223.0,87,0.486,7,"<Group(symbol=IA, name=Alkali metals)>","<Group(symbol=IA, name=Alkali metals)>",1,0,0
H2GaO3- + H2O + 3e- → Ga + 4OH-,-1.33,Ga,Gallium,31,69.723,130.0,124.0,31,0.43,4,"<Group(symbol=IIIA, name=Boron group)>","<Group(symbol=IIIA, name=Boron group)>",3,0,1
Ga3+ + e- → Ga2+,-0.65,Ga,Gallium,31,69.723,130.0,124.0,31,0.43,4,"<Group(symbol=IIIA, name=Boron group)>","<Group(symbol=IIIA, name=Boron group)>",1,0,0
Ga3+ + 3e- → Ga,-0.56,Ga,Gallium,31,69.723,130.0,124.0,31,0.43,4,"<Group(symbol=IIIA, name=Boron group)>","<Group(symbol=IIIA, name=Boron group)>",3,0,0
Gd(OH)3 + 3e- → Gd + 3OH-,-2.82,Gd,Gadolinium,64,157.25,180.0,169.0,64,,6,,,3,0,1
Gd3+ + 3e- → Gd,-2.397,Gd,Gadolinium,64,157.25,180.0,169.0,64,,6,,,3,0,0
HGeO3- + 2H2O + 4e- → Ge + 5OH-,-1.0,Ge,Germanium,32,72.63,125.0,121.0,32,1.232712,4,"<Group(symbol=IVA, name=Carbon group)>","<Group(symbol=IVA, name=Carbon group)>",4,0,1
H2GeO3 + 4H+ + 2e- → Ge3+ + 3H2O,-0.363,Ge,Germanium,32,72.63,125.0,121.0,32,1.232712,4,"<Group(symbol=IVA, name=Carbon group)>","<Group(symbol=IVA, name=Carbon group)>",2,-1,0
Ge + 4H+ + 4e- → GeH4,-0.3,Ge,Germanium,32,72.63,125.0,121.0,32,1.232712,4,"<Group(symbol=IVA, name=Carbon group)>","<Group(symbol=IVA, name=Carbon group)>",4,-1,0
GeO + 2H+ + 2e- → Ge + H2O,-0.29,Ge,Germanium,32,72.63,125.0,121.0,32,1.232712,4,"<Group(symbol=IVA, name=Carbon group)>","<Group(symbol=IVA, name=Carbon group)>",2,-1,0
GeO2 + 4H+ + 4e- → Ge + 2H2O,-0.15,Ge,Germanium,32,72.63,125.0,121.0,32,1.232712,4,"<Group(symbol=IVA, name=Carbon group)>","<Group(symbol=IVA, name=Carbon group)>",4,-1,0
H2GeO3 + 4H+ + 4e- → Ge + 3H2O,-0.13,Ge,Germanium,32,72.63,125.0,121.0,32,1.232712,4,"<Group(symbol=IVA, name=Carbon group)>","<Group(symbol=IVA, name=Carbon group)>",4,-1,0
